systematic_id	colour
SPAC17H9.07	7
SPAC17H9.08	7
SPAC17H9.09c	2
SPAC17H9.10c	2
SPAC17H9.11	2
SPAC17H9.12c	7
SPAC17H9.13c	2
SPAC17H9.14c	2
SPAC17H9.16	7
SPAC17H9.17c	7
SPAC17H9.18c	8
SPAC17H9.19c	2
SPAC17H9.20	2
SPAC607.02c	10
SPAC607.03c	2
SPAC607.04	2
SPAC607.05	2
SPAC607.06c	10
SPAC607.07c	12
SPAC607.08c	7
SPAC607.09c	2
SPAC607.10	2
SPAC732.01	7
SPAC732.02c	7
SPAC3C7.01c	7
SPAC3C7.02c	7
SPAC3C7.03c	2
SPAC3C7.04	7
SPAC3C7.05c	7
SPAC3C7.06c	2
SPAC3C7.07c	2
SPAC3C7.08c	2
SPAC3C7.09	10
SPAC3C7.10	7
SPAC3C7.11c	2
SPAC3C7.12	2
SPAC3C7.13c	7
SPAC3C7.14c	10
SPAC25A8.03c	10
SPAC25A8.01c	2
SPAC25A8.02	2
SPAC631.01c	2
SPAC631.02	2
SPAC20H4.01	7
SPAC20H4.02	2
SPAC20H4.03c	2
SPAC20H4.04	7
SPAC20H4.05c	7
SPAC20H4.06c	2
SPAC20H4.07	2
SPAC20H4.08	7
SPAC20H4.09	2
SPAC20H4.10	7
SPAC20H4.11c	2
SPAC23C11.01	7
SPAC23C11.02c	7
SPAC23C11.03	7
SPAC23C11.04c	2
SPAC23C11.05	7
SPAC23C11.06c	10
SPAC23C11.07	8
SPAC23C11.08	2
SPAC23C11.09	7
SPAC23C11.10	2
SPAC23C11.11	2
SPAC23C11.12	2
SPAC23C11.13c	2
SPAC23C11.14	2
SPAC23C11.15	2
SPAC23C11.16	2
SPAC23C11.17	7
SPAC13F5.01c	7
SPAC13F5.02c	2
SPAC13F5.03c	2
SPAC13F5.04c	7
SPAC13F5.05	7
SPAC13F5.06c	2
SPAC13F5.07c	10
SPAC1783.01	7
SPAC1783.02c	7
SPAC1783.03	2
SPAC1783.04c	2
SPAC1783.05	2
SPAC1783.06c	2
SPAC1783.07c	2
SPAC1783.08c	7
SPAC1327.01c	7
SPAC18G6.01c	10
SPAC18G6.02c	2
SPAC18G6.03	2
SPAC18G6.04c	7
SPAC18G6.05c	2
SPAC18G6.06	7
SPAC18G6.07c	2
SPAC18G6.09c	2
SPAC18G6.10	2
SPAC18G6.11c	2
SPAC18G6.12c	10
SPAC18G6.13	12
SPAC18G6.14c	7
SPAC18G6.15	2
SPAC13D6.01	2
SPAC13D6.02c	7
SPAC13D6.03c	7
SPAC13D6.04c	2
SPAC13D6.05	2
SPAC4G9.02	2
SPAC4G9.03	2
SPAC4G9.04c	2
SPAC4G9.05	7
SPAC4G9.06c	7
SPAC4G9.07	12
SPAC4G9.08c	2
SPAC4G9.09c	2
SPAC4G9.10	2
SPAC4G9.11c	2
SPAC4G9.12	2
SPAC4G9.13c	2
SPAC4G9.14	10
SPAC4G9.15	7
SPAC4G9.16c	2
SPAC4G9.17c	7
SPAC4G9.19	7
SPAC4G9.20c	7
SPAC4G9.22	8
SPAC13G7.01c	2
SPAC13G7.02c	2
SPAC13G7.03	7
SPAC13G7.04c	7
SPAC13G7.05	2
SPAC13G7.06	2
SPAC13G7.07	2
SPAC13G7.08c	2
SPAC13G7.09c	10
SPAC13G7.10	2
SPAC13G7.11	7
SPAC13G7.12c	7
SPAC13G7.13c	2
SPAC6C3.02c	7
SPAC6C3.03c	8
SPAC6C3.04	2
SPAC6C3.05	12
SPAC6C3.06c	7
SPAC6C3.07	12
SPAC6C3.08	2
SPAC6C3.09	2
SPAC17G8.01c	7
SPAC17G8.02	7
SPAC17G8.03c	2
SPAC17G8.15	7
SPAC17G8.04c	2
SPAC17G8.05	2
SPAC17G8.06c	2
SPAC17G8.07	2
SPAC17G8.08c	7
SPAC17G8.09	2
SPAC17G8.10c	2
SPAC17G8.11c	2
SPAC17G8.12	2
SPAC17G8.13c	2
SPAC17G8.14c	2
SPAC22H10.02	10
SPAC22H10.03c	2
SPAC22H10.04	2
SPAC22H10.05c	7
SPAC22H10.06c	6
SPAC22H10.13	2
SPAC22H10.07	2
SPAC22H10.08	10
SPAC22H10.09	2
SPAC22H10.10	2
SPAC22H10.11c	7
SPAC22H10.12c	7
SPAC15F9.01c	7
SPAC15F9.02	2
SPAC15F9.03c	2
SPAC1B9.02c	2
SPAC1B9.03c	7
SPAC6B12.02c	2
SPAC6B12.03c	7
SPAC6B12.18	7
SPAC6B12.04c	7
SPAC6B12.05c	2
SPAC6B12.06c	7
SPAC6B12.07c	2
SPAC6B12.08	2
SPAC6B12.19	7
SPAC6B12.09	2
SPAC6B12.10c	2
SPAC6B12.11	2
SPAC6B12.12	7
SPAC6B12.13	7
SPAC6B12.14c	10
SPAC6B12.15	2
SPAC6B12.16	10
SPAC32A11.04c	7
SPAC32A11.01	10
SPAC32A11.02c	10
SPAC32A11.03c	2
SPAC19A8.15	7
SPAC19A8.14	7
SPAC19A8.13	2
SPAC19A8.12	2
SPAC19A8.11c	7
SPAC19A8.10	2
SPAC19A8.09	7
SPAC19A8.08	2
SPAC19A8.16	10
SPAC19A8.07c	7
SPAC19A8.06	10
SPAC19A8.05c	2
SPAC19A8.04	2
SPAC19A8.03	7
SPAC19A8.02	2
SPAC19A8.01c	7
SPAC23H3.02c	2
SPAC23H3.03c	2
SPAC23H3.04	10
SPAC23H3.05c	2
SPAC23H3.06	7
SPAC23H3.07c	7
SPAC23H3.08c	2
SPAC23H3.09c	7
SPAC23H3.10	2
SPAC23H3.11c	7
SPAC23H3.12c	7
SPAC23H3.13c	2
SPAC23H3.14	7
SPAC23H3.15c	7
SPAC25H1.02	7
SPAC25H1.03	2
SPAC25H1.04	2
SPAC25H1.05	7
SPAC25H1.06	2
SPAC25H1.10c	7
SPAC25H1.07	7
SPAC25H1.08c	7
SPAC25H1.09	7
SPAC4A8.02c	10
SPAC4A8.03c	2
SPAC4A8.04	2
SPAC4A8.05c	2
SPAC4A8.06c	10
SPAC4A8.07c	7
SPAC4A8.08c	2
SPAC4A8.09c	2
SPAC4A8.10	7
SPAC4A8.11c	2
SPAC4A8.12c	2
SPAC4A8.13c	2
SPAC4A8.14	7
SPAC4A8.15c	2
SPAC4A8.16c	2
SPAC823.17	7
SPAC823.03	2
SPAC823.04	7
SPAC823.05c	7
SPAC823.06	7
SPAC823.07	7
SPAC823.08c	7
SPAC823.09c	7
SPAC823.10c	7
SPAC823.11	7
SPAC823.12	7
SPAC823.13c	7
SPAC823.14	7
SPAC823.15	2
SPAC823.16c	2
SPAC7D4.14c	2
SPAC7D4.13c	12
SPAC7D4.12c	7
SPAC7D4.11c	7
SPAC7D4.10	7
SPAC7D4.09c	7
SPAC7D4.15c	7
SPAC7D4.08	8
SPAC7D4.07c	2
SPAC7D4.06c	2
SPAC7D4.05	10
SPAC7D4.04	2
SPAC7D4.03c	7
SPAC7D4.02c	2
SPAC4F8.15	2
SPAC4F8.14c	2
SPAC4F8.13c	2
SPAC4F8.12c	2
SPAC4F8.11	2
SPAC4F8.10c	2
SPAC4F8.08	8
SPAC4F8.07c	2
SPAC4F8.06	7
SPAC4F8.05c	7
SPAC4F8.04	7
SPAC4F8.03	7
SPAC4F8.02c	7
SPAC4F8.01	2
SPAC644.04	2
SPAC644.05c	7
SPAC644.06c	2
SPAC644.07	7
SPAC644.08	7
SPAC644.09	7
SPAC644.10	2
SPAC644.11c	7
SPAC644.12	2
SPAC644.13c	7
SPAC644.14c	2
SPAC644.15	2
SPAC644.16	2
SPAC644.17c	7
SPAC644.18c	7
SPAPB2B4.01c	7
SPAPB2B4.02	2
SPAPB2B4.03	2
SPAPB2B4.04c	2
