revision,systematic_id,added_or_removed,value_y
20110324,SPBC11B10.10c,added,('PMID:xxxxxxxx')
20110324,SPBC11B10.10c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC11C11.01,added,('PMID:xxxxxxxx')
20110324,SPBC11C11.01,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC12D12.07c,added,('PMID:xxxxxxxx')
20110324,SPBC12D12.07c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC1347.07,added,('PMID:xxxxxxxx')
20110324,SPBC1347.07,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC13E7.04,added,('PMID:xxxxxxxx')
20110324,SPBC13E7.04,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC13G1.12,added,('PMID:xxxxxxxx')
20110324,SPBC13G1.12,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC146.12,added,('PMID:xxxxxxxx')
20110324,SPBC146.12,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC1685.16,added,('PMID:xxxxxxxx')
20110324,SPBC1685.16,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC16D10.04c,added,('PMID:xxxxxxxx')
20110324,SPBC16D10.04c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC16E9.19,added,('PMID:xxxxxxxx')
20110324,SPBC16E9.19,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC1703.05,added,('PMID:xxxxxxxx')
20110324,SPBC1703.05,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC1706.01,added,('PMID:xxxxxxxx')
20110324,SPBC1706.01,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC1709.03,added,('PMID:xxxxxxxx')
20110324,SPBC1709.03,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC1709.16c,added,('PMID:xxxxxxxx')
20110324,SPBC1709.16c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC1711.09c,added,('PMID:xxxxxxxx')
20110324,SPBC1711.09c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC1734.03,added,('PMID:xxxxxxxx')
20110324,SPBC1734.03,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC1778.10c,added,('PMID:xxxxxxxx')
20110324,SPBC1778.10c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC17A3.03c,added,('PMID:xxxxxxxx')
20110324,SPBC17A3.03c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC17D1.07c,added,('PMID:xxxxxxxx')
20110324,SPBC17D1.07c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC18E5.12c,added,('PMID:xxxxxxxx')
20110324,SPBC18E5.12c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC18H10.09,added,('PMID:xxxxxxxx')
20110324,SPBC18H10.09,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC18H10.10c,added,('PMID:xxxxxxxx')
20110324,SPBC18H10.10c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC211.01,added,('PMID:xxxxxxxx')
20110324,SPBC211.01,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC215.06c,added,('PMID:xxxxxxxx')
20110324,SPBC215.06c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC215.12,added,('PMID:xxxxxxxx')
20110324,SPBC215.12,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC21C3.03,added,('PMID:xxxxxxxx')
20110324,SPBC21C3.03,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC21D10.11c,added,('PMID:xxxxxxxx')
20110324,SPBC21D10.11c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC25D12.06,added,('PMID:xxxxxxxx')
20110324,SPBC25D12.06,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC27B12.01c,added,('PMID:xxxxxxxx')
20110324,SPBC27B12.01c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC27B12.02,added,('PMID:xxxxxxxx')
20110324,SPBC27B12.02,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC27B12.05,added,('PMID:xxxxxxxx')
20110324,SPBC27B12.05,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC29A10.06c,added,('PMID:xxxxxxxx')
20110324,SPBC29A10.06c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC2A9.08c,added,('PMID:xxxxxxxx')
20110324,SPBC2A9.08c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC31E1.04,added,('PMID:xxxxxxxx')
20110324,SPBC31E1.04,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC31F10.09c,added,('PMID:xxxxxxxx')
20110324,SPBC31F10.09c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC31F10.16,added,('PMID:xxxxxxxx')
20110324,SPBC31F10.16,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC337.12,added,('PMID:xxxxxxxx')
20110324,SPBC337.12,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC354.06,added,('PMID:xxxxxxxx')
20110324,SPBC354.06,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC428.01c,added,('PMID:xxxxxxxx')
20110324,SPBC428.01c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC428.06c,added,('PMID:xxxxxxxx')
20110324,SPBC428.06c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC428.10,added,('PMID:xxxxxxxx')
20110324,SPBC428.10,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC4F6.13c,added,('PMID:xxxxxxxx')
20110324,SPBC4F6.13c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC530.12c,added,('PMID:xxxxxxxx')
20110324,SPBC530.12c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC56F2.11,added,('PMID:xxxxxxxx')
20110324,SPBC56F2.11,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC646.15c,added,('PMID:xxxxxxxx')
20110324,SPBC646.15c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC660.11,added,('PMID:xxxxxxxx')
20110324,SPBC660.11,removed,('EMBL:AY007252')
20110324,SPBC713.11c,added,('PMID:xxxxxxxx')
20110324,SPBC713.11c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC725.10,added,('PMID:xxxxxxxx')
20110324,SPBC725.10,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC776.05,added,('PMID:xxxxxxxx')
20110324,SPBC776.05,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC776.06c,added,('PMID:xxxxxxxx')
20110324,SPBC776.06c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC776.17,added,('PMID:xxxxxxxx')
20110324,SPBC776.17,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC83.01,added,('PMID:xxxxxxxx')
20110324,SPBC83.01,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC83.11,added,('PMID:xxxxxxxx')
20110324,SPBC83.11,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC887.02,added,('PMID:xxxxxxxx')
20110324,SPBC887.02,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC887.04c,added,('PMID:xxxxxxxx')
20110324,SPBC887.04c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBP35G2.08c,added,('PMID:xxxxxxxx')
20110324,SPBP35G2.08c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBP8B7.05c,added,('PMID:xxxxxxxx')
20110324,SPBPB2B2.05,added,('PMID:xxxxxxxx')
20110324,SPBPB2B2.05,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC1183.01,added,('PMID:xxxxxxxx')
20110324,SPCC1183.01,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC1183.09c,added,('PMID:xxxxxxxx')
20110324,SPCC1183.09c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC1235.10c,added,('PMID:xxxxxxxx')
20110324,SPCC1235.10c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC126.09,added,('PMID:xxxxxxxx')
20110324,SPCC126.09,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC1442.12,added,('PMID:xxxxxxxx')
20110324,SPCC1442.12,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC1450.15,added,('PMID:xxxxxxxx')
20110324,SPCC1450.15,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC1450.16c,added,('PMID:xxxxxxxx')
20110324,SPCC1450.16c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC162.05,added,('PMID:xxxxxxxx')
20110324,SPCC162.05,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC1620.12c,added,('PMID:xxxxxxxx')
20110324,SPCC1620.12c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC1739.03,added,('PMID:xxxxxxxx')
20110324,SPCC1739.03,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC1739.04c,added,('PMID:xxxxxxxx')
20110324,SPCC1739.04c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC1795.08c,added,('PMID:xxxxxxxx')
20110324,SPCC1795.08c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC18.06c,added,('PMID:xxxxxxxx')
20110324,SPCC18.06c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC18.15,added,('PMID:xxxxxxxx')
20110324,SPCC18.15,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC18B5.07c,added,('PMID:xxxxxxxx')
20110324,SPCC18B5.07c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC23B6.01c,added,('PMID:xxxxxxxx')
20110324,SPCC23B6.01c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC24B10.16c,added,('PMID:xxxxxxxx')
20110324,SPCC24B10.16c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC338.10c,added,('PMID:xxxxxxxx')
20110324,SPCC338.10c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC550.14,added,('PMID:xxxxxxxx')
20110324,SPCC550.14,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC553.11c,added,('PMID:xxxxxxxx')
20110324,SPCC553.11c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC584.14,added,('PMID:xxxxxxxx')
20110324,SPCC584.14,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC63.10c,added,('PMID:xxxxxxxx')
20110324,SPCC63.10c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC645.02,added,('PMID:xxxxxxxx')
20110324,SPCC663.02,added,('PMID:xxxxxxxx')
20110324,SPCC663.02,removed,"('PMID:18488015','PMID:20118936','PMID:18641648')"
20110324,SPCC757.10,added,('PMID:xxxxxxxx')
20110324,SPCC757.10,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCC790.03,added,('PMID:xxxxxxxx')
20110324,SPCC790.03,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPCPB16A4.02c,added,('PMID:xxxxxxxx')
20110324,SPCPB16A4.02c,removed,"('PMID:20118936','PMID:18641648')"
8410,SPNCRNA.159,removed,"('PMID:18488015','PMID:29914874')"
