systematic_id	chromosome	primary_name	feature_type	category	merged_into	comment_addition	reference_addition	comment_removal	reference_removal
SPNCRNA.5087	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5088	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5089	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.509	I		misc_RNA,ncRNA	added_changed_and_merged	SPCC18.19c			dubious and partially overlapping with Ost5	
SPNCRNA.5090	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5091	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5092	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5093	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5094	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5095	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5096	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5097	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5098	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5099	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.51	III	prl51	lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.510	I		misc_RNA,ncRNA	added_changed_and_merged	SPNCRNA.942		PMID:18641648		
SPNCRNA.5100	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5101	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5102	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5103	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5104	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5105	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5106	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5107	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5108	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5109	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.511	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5110	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5111	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5112	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5113	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5114	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5115	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5116	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5117	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5118	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5119	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.512	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5120	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5121	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5122	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5123	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5124	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5125	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5126	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5127	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5128	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5129	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.513	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5130	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5131	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5132	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5133	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5134	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5135	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5136	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5137	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5138	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5139	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.514	II		misc_RNA,ncRNA	added_changed_and_merged	SPNCRNA.1490		PMID:18641648		
SPNCRNA.5140	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5141	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5142	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5143	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5144	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5145	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5146	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5147	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5148	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5149	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.515	II		misc_RNA,ncRNA	added_changed_and_merged	SPNCRNA.1651		PMID:18641648		
SPNCRNA.5150	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5151	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5152	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5153	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5154	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5155	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5156	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5157	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5158	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5159	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.516	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5160	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5161	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5162	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5163	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5164	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5165	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5166	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5167	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5168	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5169	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.517	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5170	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5171	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5172	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5173	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5174	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5175	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5176	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5177	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5178	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5179	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5180	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5181	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5182	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5183	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5184	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5185	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5186	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5187	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5188	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5189	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.519	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5190	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5191	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5192	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5193	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5194	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5195	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5196	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5197	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5198	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5199	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.52	I	prl52	lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.520	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5200	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5201	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5202	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5203	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5204	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5205	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5206	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5207	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5208	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5209	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.521	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5210	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5211	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5212	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5213	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5214	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5215	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5216	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5217	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5218	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5219	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5220	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5221	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5222	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5223	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5224	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5225	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5226	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5227	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5228	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5229	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.523	III		misc_RNA,ncRNA	added_changed_and_merged	SPNCRNA.1293		PMID:18641648		
SPNCRNA.5230	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5231	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5232	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5233	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5234	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5235	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5236	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5237	II		lncRNA,ncRNA	added_and_changed					
