Systematic ID	Primary name	Date added	Comment	Reference
SPNCRNA.7524		2022-01-12		PMID:29914874
SPNCRNA.7523		2022-01-12		PMID:29914874
SPNCRNA.7522		2022-01-12		PMID:29914874
SPNCRNA.7521		2022-01-12		PMID:29914874
SPNCRNA.7520		2022-01-12		PMID:29914874
SPNCRNA.7519		2022-01-12		PMID:29914874
SPNCRNA.7518		2022-01-12		PMID:29914874
SPNCRNA.7517		2022-01-12		PMID:29914874
SPNCRNA.7516		2022-01-12		PMID:29914874
SPNCRNA.7515		2022-01-12		PMID:29914874
SPNCRNA.7514		2022-01-12		PMID:29914874
SPNCRNA.7513		2022-01-12		PMID:29914874
SPNCRNA.7512		2022-01-12		PMID:29914874
SPNCRNA.7511		2022-01-12		PMID:29914874
SPNCRNA.7510		2022-01-12		PMID:29914874
SPNCRNA.7509		2022-01-12		PMID:29914874
SPNCRNA.7508		2022-01-12		PMID:29914874
SPNCRNA.7507		2022-01-12		PMID:29914874
SPNCRNA.7506		2022-01-12		PMID:29914874
SPNCRNA.7505		2022-01-12		PMID:29914874
SPNCRNA.7504		2022-01-12		PMID:29914874
SPNCRNA.7503		2022-01-12		PMID:29914874
SPNCRNA.7502		2022-01-12		PMID:29914874
SPNCRNA.7501		2022-01-12		PMID:29914874
SPNCRNA.7500		2022-01-12		PMID:29914874
SPNCRNA.7499		2022-01-12		PMID:29914874
SPNCRNA.7498		2022-01-12		PMID:29914874
SPNCRNA.7497		2022-01-12		PMID:29914874
SPNCRNA.7496		2022-01-12		PMID:29914874
SPNCRNA.7495		2022-01-12		PMID:29914874
SPNCRNA.7494		2022-01-12		PMID:29914874
SPNCRNA.7493		2022-01-12		PMID:29914874
SPNCRNA.7492		2022-01-12		PMID:29914874
SPNCRNA.7491		2022-01-12		PMID:29914874
SPNCRNA.7490		2022-01-12		PMID:29914874
SPNCRNA.7489		2022-01-12		PMID:29914874
SPNCRNA.7488		2022-01-12		PMID:29914874
SPNCRNA.7487		2022-01-12		PMID:29914874
SPNCRNA.7486		2022-01-12		PMID:29914874
SPNCRNA.7485		2022-01-12		PMID:29914874
SPNCRNA.7484		2022-01-12		PMID:29914874
SPNCRNA.7483		2022-01-12		PMID:29914874
SPNCRNA.7482		2022-01-12		PMID:29914874
SPNCRNA.7481		2022-01-12		PMID:29914874
SPNCRNA.7480		2022-01-12		PMID:29914874
SPNCRNA.7479		2022-01-12		PMID:29914874
SPNCRNA.7478		2022-01-12		PMID:29914874
SPNCRNA.7477		2022-01-12		PMID:29914874
SPNCRNA.7476		2022-01-12		PMID:29914874
SPNCRNA.7475		2022-01-12		PMID:29914874
SPNCRNA.7474		2022-01-12		PMID:29914874
SPNCRNA.7473		2022-01-12		PMID:29914874
SPNCRNA.7472		2022-01-12		PMID:29914874
SPNCRNA.7471		2022-01-12		PMID:29914874
SPNCRNA.7470		2022-01-12		PMID:29914874
SPNCRNA.7469		2022-01-12		PMID:29914874
SPNCRNA.7468		2022-01-12		PMID:29914874
SPNCRNA.7467		2022-01-12		PMID:29914874
SPNCRNA.7466		2022-01-12		PMID:29914874
SPNCRNA.7465		2022-01-12		PMID:29914874
SPNCRNA.7464		2022-01-12		PMID:29914874
SPNCRNA.7463		2022-01-12		PMID:29914874
SPNCRNA.7462		2022-01-12		PMID:29914874
SPNCRNA.7461		2022-01-12		PMID:29914874
SPNCRNA.7460		2022-01-12		PMID:29914874
SPNCRNA.7459		2022-01-12		PMID:29914874
SPNCRNA.7458		2022-01-12		PMID:29914874
SPNCRNA.7457		2022-01-12		PMID:29914874
SPNCRNA.7456		2022-01-12		PMID:29914874
SPNCRNA.7455		2022-01-12		PMID:29914874
SPNCRNA.7454		2022-01-12		PMID:29914874
SPNCRNA.7453		2022-01-12		PMID:29914874
SPNCRNA.7452		2022-01-12		PMID:29914874
SPNCRNA.7451		2022-01-12		PMID:29914874
SPNCRNA.7450		2022-01-12		PMID:29914874
SPNCRNA.7449		2022-01-12		PMID:29914874
SPNCRNA.7448		2022-01-12		PMID:29914874
SPNCRNA.7447		2022-01-12		PMID:29914874
SPNCRNA.7446		2022-01-12		PMID:29914874
SPNCRNA.7445		2022-01-12		PMID:29914874
SPNCRNA.7444		2022-01-12		PMID:29914874
SPNCRNA.7443		2022-01-12		PMID:29914874
SPNCRNA.7442		2022-01-12		PMID:29914874
SPNCRNA.7441		2022-01-12		PMID:29914874
SPNCRNA.7440		2022-01-12		PMID:29914874
SPNCRNA.7439		2022-01-12		PMID:29914874
SPNCRNA.7438		2022-01-12		PMID:29914874
SPNCRNA.7437		2022-01-12		PMID:29914874
SPNCRNA.7436		2022-01-12		PMID:29914874
SPNCRNA.7435		2022-01-12		PMID:29914874
SPNCRNA.7434		2022-01-12		PMID:29914874
SPNCRNA.7433		2022-01-12		PMID:29914874
SPNCRNA.7432		2022-01-12		PMID:29914874
SPNCRNA.7431		2022-01-12		PMID:29914874
SPNCRNA.7430		2022-01-12		PMID:29914874
SPNCRNA.7429		2022-01-12		PMID:29914874
SPNCRNA.7428		2022-01-12		PMID:29914874
SPNCRNA.7427		2022-01-12		PMID:29914874
SPNCRNA.7426		2022-01-12		PMID:29914874
SPNCRNA.7425		2022-01-12		PMID:29914874
SPNCRNA.7424		2022-01-12		PMID:29914874
SPNCRNA.7423		2022-01-12		PMID:29914874
SPNCRNA.7422		2022-01-12		PMID:29914874
SPNCRNA.7421		2022-01-12		PMID:29914874
SPNCRNA.7420		2022-01-12		PMID:29914874
SPNCRNA.7419		2022-01-12		PMID:29914874
SPNCRNA.7418		2022-01-12		PMID:29914874
SPNCRNA.7417		2022-01-12		PMID:29914874
SPNCRNA.7416		2022-01-12		PMID:29914874
SPNCRNA.7415		2022-01-12		PMID:29914874
SPNCRNA.7414		2022-01-12		PMID:29914874
SPNCRNA.7413		2022-01-12		PMID:29914874
SPNCRNA.7412		2022-01-12		PMID:29914874
SPNCRNA.7411		2022-01-12		PMID:29914874
SPNCRNA.7410		2022-01-12		PMID:29914874
SPNCRNA.7409		2022-01-12		PMID:29914874
SPNCRNA.7408		2022-01-12		PMID:29914874
SPNCRNA.7407		2022-01-12		PMID:29914874
SPNCRNA.7406		2022-01-12		PMID:29914874
SPNCRNA.7405		2022-01-12		PMID:29914874
SPNCRNA.7404		2022-01-12		PMID:29914874
SPNCRNA.7403		2022-01-12		PMID:29914874
SPNCRNA.7402		2022-01-12		PMID:29914874
SPNCRNA.7401		2022-01-12		PMID:29914874
SPNCRNA.7400		2022-01-12		PMID:29914874
SPNCRNA.7399		2022-01-12		PMID:29914874
SPNCRNA.7398		2022-01-12		PMID:29914874
SPNCRNA.7397		2022-01-12		PMID:29914874
SPNCRNA.7396		2022-01-12		PMID:29914874
SPNCRNA.7395		2022-01-12		PMID:29914874
SPNCRNA.7394		2022-01-12		PMID:29914874
SPNCRNA.7393		2022-01-12		PMID:29914874
SPNCRNA.7392		2022-01-12		PMID:29914874
SPNCRNA.7391		2022-01-12		PMID:29914874
SPNCRNA.7390		2022-01-12		PMID:29914874
SPNCRNA.7389		2022-01-12		PMID:29914874
SPNCRNA.7388		2022-01-12		PMID:29914874
SPNCRNA.7387		2022-01-12		PMID:29914874
SPNCRNA.7386		2022-01-12		PMID:29914874
SPNCRNA.7385		2022-01-12		PMID:29914874
SPNCRNA.7384		2022-01-12		PMID:29914874
SPNCRNA.7383		2022-01-12		PMID:29914874
SPNCRNA.7382		2022-01-12		PMID:29914874
SPNCRNA.7381		2022-01-12		PMID:29914874
SPNCRNA.7380		2022-01-12		PMID:29914874
SPNCRNA.7379		2022-01-12		PMID:29914874
SPNCRNA.7378		2022-01-12		PMID:29914874
SPNCRNA.7377		2022-01-12		PMID:29914874
SPNCRNA.7376		2022-01-12		PMID:29914874
SPNCRNA.7375		2022-01-12		PMID:29914874
SPNCRNA.7374		2022-01-12		PMID:29914874
SPNCRNA.7373		2022-01-12		PMID:29914874
SPNCRNA.7372		2022-01-12		PMID:29914874
SPNCRNA.7371		2022-01-12		PMID:29914874
SPNCRNA.7370		2022-01-12		PMID:29914874
SPNCRNA.7369		2022-01-12		PMID:29914874
SPNCRNA.7368		2022-01-12		PMID:29914874
SPNCRNA.7367		2022-01-12		PMID:29914874
SPNCRNA.7366		2022-01-12		PMID:29914874
SPNCRNA.7365		2022-01-12		PMID:29914874
SPNCRNA.7364		2022-01-12		PMID:29914874
SPNCRNA.7363		2022-01-12		PMID:29914874
SPNCRNA.7362		2022-01-12		PMID:29914874
SPNCRNA.7361		2022-01-12		PMID:29914874
SPNCRNA.7360		2022-01-12		PMID:29914874
SPNCRNA.7359		2022-01-12		PMID:29914874
SPNCRNA.7358		2022-01-12		PMID:29914874
SPNCRNA.7357		2022-01-12		PMID:29914874
SPNCRNA.7356		2022-01-12		PMID:29914874
SPNCRNA.7355		2022-01-12		PMID:29914874
SPNCRNA.7354		2022-01-12		PMID:29914874
SPNCRNA.7353		2022-01-12		PMID:29914874
SPNCRNA.7352		2022-01-12		PMID:29914874
SPNCRNA.7351		2022-01-12		PMID:29914874
SPNCRNA.7350		2022-01-12		PMID:29914874
SPNCRNA.7349		2022-01-12		PMID:29914874
SPNCRNA.7348		2022-01-12		PMID:29914874
SPNCRNA.7347		2022-01-12		PMID:29914874
SPNCRNA.7346		2022-01-12		PMID:29914874
SPNCRNA.7345		2022-01-12		PMID:29914874
SPNCRNA.7344		2022-01-12		PMID:29914874
SPNCRNA.7343		2022-01-12		PMID:29914874
SPNCRNA.7342		2022-01-12		PMID:29914874
SPNCRNA.7341		2022-01-12		PMID:29914874
SPNCRNA.7340		2022-01-12		PMID:29914874
SPNCRNA.7339		2022-01-12		PMID:29914874
SPNCRNA.7338		2022-01-12		PMID:29914874
SPNCRNA.7337		2022-01-12		PMID:29914874
SPNCRNA.7336		2022-01-12		PMID:29914874
SPNCRNA.7335		2022-01-12		PMID:29914874
SPNCRNA.7334		2022-01-12		PMID:29914874
SPNCRNA.7333		2022-01-12		PMID:29914874
SPNCRNA.7332		2022-01-12		PMID:29914874
SPNCRNA.7331		2022-01-12		PMID:29914874
SPNCRNA.7330		2022-01-12		PMID:29914874
SPNCRNA.7329		2022-01-12		PMID:29914874
SPNCRNA.7328		2022-01-12		PMID:29914874
SPNCRNA.7327		2022-01-12		PMID:29914874
SPNCRNA.7326		2022-01-12		PMID:29914874
SPNCRNA.7325		2022-01-12		PMID:29914874
SPNCRNA.7324		2022-01-12		PMID:29914874
SPNCRNA.7323		2022-01-12		PMID:29914874
SPNCRNA.7322		2022-01-12		PMID:29914874
