revision	counts	date
5318	0 0 2342 0 13 0 55 2029 122 0 410 0 161 28 0 0	2019-01-01
5405	0 0 2343 0 13 0 55 2030 122 0 407 0 162 28 0 0	2019-02-01
5441	0 0 2343 0 13 0 55 2030 122 0 407 0 162 28 0 0	2019-03-01
5477	0 0 2344 0 13 0 55 2030 122 0 406 0 162 28 0 0	2019-04-01
5537	0 0 2346 0 13 0 55 2028 122 0 406 0 162 28 0 0	2019-05-01
5624	0 0 2348 0 13 0 55 2023 122 0 407 0 162 28 0 0	2019-06-01
5691	0 0 2351 0 13 0 55 2020 122 0 407 0 162 28 0 0	2019-07-01
5731	0 0 2357 0 13 0 55 2015 122 0 406 0 162 28 0 0	2019-08-01
5785	0 0 2361 0 13 0 55 2010 122 0 407 0 162 28 0 0	2019-09-01
5829	0 0 2363 0 13 0 55 2009 122 0 406 0 162 28 0 0	2019-10-01
5904	0 0 2366 0 13 0 55 2006 122 0 406 0 162 28 0 0	2019-11-01
5959	0 0 2366 0 13 0 55 2006 122 0 406 0 162 28 0 0	2019-12-01
6001	0 0 2366 0 13 0 55 2006 122 0 406 0 162 28 0 0	2020-01-01
6068	0 0 2368 0 13 0 55 2004 122 0 406 0 162 28 0 0	2020-02-01
6129	0 0 2370 0 13 0 55 2000 122 0 409 0 161 28 0 0	2020-03-01
6197	0 0 2373 0 13 0 55 1998 122 0 408 0 161 28 0 0	2020-04-01
6246	0 0 2382 0 13 0 55 1988 122 0 408 0 161 29 0 0	2020-05-01
6309	0 0 2384 0 13 0 55 1983 122 0 409 0 161 31 0 0	2020-06-01
6371	0 0 2384 0 13 0 55 1984 122 0 408 0 161 31 0 0	2020-07-01
6424	0 0 2386 0 13 0 55 1983 121 0 408 0 161 31 0 0	2020-08-01
6464	0 0 2387 0 13 0 55 1982 121 0 408 0 161 31 0 0	2020-09-01
6544	0 0 2391 0 13 0 55 1980 121 0 405 0 163 31 0 0	2020-10-01
6621	0 0 2393 0 13 0 55 1979 121 0 404 0 163 31 0 0	2020-11-01
6706	0 0 2397 0 13 0 55 1977 121 0 402 0 163 31 0 0	2020-12-01
6793	0 0 2398 0 13 0 56 1976 121 0 401 0 163 31 0 0	2021-01-01
6879	0 0 2409 0 13 0 56 1966 121 0 400 0 163 31 0 0	2021-02-01
6988	0 0 2412 0 13 0 56 1967 121 0 397 0 162 31 0 0	2021-03-01
7106	0 0 2425 0 13 0 55 1959 121 0 393 0 162 31 0 0	2021-04-01
7214	0 0 2429 0 13 0 55 1958 121 0 391 0 161 31 0 0	2021-05-01
7294	0 0 2429 0 13 0 55 1957 121 0 392 0 161 31 0 0	2021-06-01
7400	0 0 2436 0 13 0 55 1951 121 0 391 0 161 31 0 0	2021-07-01
7501	0 0 2441 0 13 0 55 1947 118 0 391 0 163 31 0 0	2021-08-01
7589	0 0 2440 0 13 0 55 1949 117 0 390 0 164 31 0 0	2021-09-01
7704	0 0 2446 0 13 0 63 1944 109 0 389 0 163 32 0 0	2021-10-01
7781	0 0 2454 0 13 0 63 1939 109 0 388 0 161 32 0 0	2021-11-01
7875	0 0 2459 0 13 0 69 1933 103 0 388 0 161 32 0 0	2021-12-01
7936	0 0 2464 0 13 0 69 1931 103 0 386 0 161 32 0 0	2022-01-01
7991	0 0 2464 0 13 0 69 1931 103 0 386 0 161 32 0 0	2022-02-01
8072	0 0 2465 0 13 0 70 1932 102 0 384 0 161 32 0 0	2022-03-01
8145	0 0 2464 0 13 0 69 1934 103 0 383 0 161 32 0 0	2022-04-01
8195	0 0 2462 0 13 0 69 1936 103 0 383 0 161 32 0 0	2022-05-01
8253	0 0 2464 0 13 0 69 1933 103 0 386 0 159 32 0 0	2022-06-01
8320	0 0 2463 0 13 0 69 1939 103 0 383 0 157 32 0 0	2022-07-01
8321	0 0 2463 0 13 0 69 1939 103 0 383 0 157 32 0 0	2022-07-01
8368	0 0 2463 0 13 0 69 1939 103 0 383 0 157 32 0 0	2022-08-01
8423	0 0 2464 0 13 0 69 1939 103 0 382 0 157 32 0 0	2022-09-01
8469	0 0 2464 0 13 0 69 1936 103 0 385 0 157 32 0 0	2022-10-01
8520	0 0 2470 0 13 0 69 1931 103 0 385 0 156 32 0 0	2022-11-01
8567	0 0 2473 0 13 0 69 1928 103 0 385 0 156 32 0 0	2022-12-01
8619	0 0 2476 0 13 0 69 1927 103 0 385 0 155 31 0 0	2023-01-01
8691	0 0 2475 0 13 0 69 1931 104 0 382 0 155 31 0 0	2023-02-01
8767	0 0 2490 0 13 0 64 1920 109 0 379 0 154 31 0 0	2023-03-01
8844	0 0 2499 0 13 0 64 1912 109 0 378 0 154 31 0 0	2023-04-01
8908	0 0 2499 0 13 0 64 1912 109 0 378 0 154 31 0 0	2023-05-01
8961	0 0 2502 0 13 0 64 1912 109 0 375 0 154 31 0 0	2023-06-01
